"","Date.Time","Tmp_H1","Tmp_H2"
"4",2018-08-09 22:00:00,"29.8","29.8"
"5",2018-08-09 22:05:00,"29.9","30.0"
"6",2018-08-09 22:10:00,"29.8","29.9"
"7",2018-08-09 22:15:00,"29.8","29.7"
"8",2018-08-09 22:20:00,"29.9","29.8"
"9",2018-08-09 22:25:00,"29.8","30.0"
"10",2018-08-09 22:30:00,"29.8","29.8"
"11",2018-08-09 22:35:00,"30.0","29.7"
"12",2018-08-09 22:40:00,"29.8","29.9"
"13",2018-08-09 22:45:00,"29.9","30.0"
"14",2018-08-09 22:50:00,"30.0","29.8"
"15",2018-08-09 22:55:00,"29.8","29.8"
"16",2018-08-09 23:00:00,"29.8","30.0"
"17",2018-08-09 23:05:00,"30.0","29.9"
"18",2018-08-09 23:10:00,"29.8","29.7"
"19",2018-08-09 23:15:00,"29.8","29.8"
"20",2018-08-09 23:20:00,"30.0","30.0"
"21",2018-08-09 23:25:00,"29.8","29.8"
"22",2018-08-09 23:30:00,"29.7","29.7"
"23",2018-08-09 23:35:00,"30.0","29.9"
"24",2018-08-09 23:40:00,"29.8","30.0"
"25",2018-08-09 23:45:00,"29.8","29.8"
"26",2018-08-09 23:50:00,"29.9","29.8"
"27",2018-08-09 23:55:00,"29.8","29.9"
"28",2018-08-10 00:00:00,"29.8","29.8"
"29",2018-08-10 00:05:00,"29.9","29.8"
"30",2018-08-10 00:10:00,"29.8","29.9"
"31",2018-08-10 00:15:00,"29.8","29.8"
"32",2018-08-10 00:20:00,"29.9","29.8"
"33",2018-08-10 00:25:00,"29.8","30.0"
"34",2018-08-10 00:30:00,"29.9","29.8"
"35",2018-08-10 00:35:00,"29.9","29.8"
"36",2018-08-10 00:40:00,"29.8","30.0"
"37",2018-08-10 00:45:00,"30.0","30.0"
"38",2018-08-10 00:50:00,"29.9","29.8"
"39",2018-08-10 00:55:00,"29.8","29.8"
"40",2018-08-10 01:00:00,"30.0","30.0"
"41",2018-08-10 01:05:00,"30.0","29.9"
"42",2018-08-10 01:10:00,"29.8","29.7"
"43",2018-08-10 01:15:00,"29.9","29.8"
"44",2018-08-10 01:20:00,"30.0","29.9"
"45",2018-08-10 01:25:00,"29.8","29.8"
"46",2018-08-10 01:30:00,"29.8","29.8"
"47",2018-08-10 01:35:00,"30.0","29.9"
"48",2018-08-10 01:40:00,"29.9","29.8"
"49",2018-08-10 01:45:00,"29.7","29.8"
"50",2018-08-10 01:50:00,"29.9","29.9"
"51",2018-08-10 01:55:00,"29.9","29.8"
"52",2018-08-10 02:00:00,"29.8","29.8"
"53",2018-08-10 02:05:00,"29.9","30.0"
"54",2018-08-10 02:10:00,"29.8","29.8"
"55",2018-08-10 02:15:00,"29.8","29.8"
"56",2018-08-10 02:20:00,"29.9","30.0"
"57",2018-08-10 02:25:00,"29.8","30.0"
"58",2018-08-10 02:30:00,"29.8","29.8"
"59",2018-08-10 02:35:00,"30.0","29.8"
"60",2018-08-10 02:40:00,"29.8","30.0"
"61",2018-08-10 02:45:00,"29.7","29.9"
"62",2018-08-10 02:50:00,"29.8","29.7"
"63",2018-08-10 02:55:00,"30.0","29.8"
"64",2018-08-10 03:00:00,"29.8","29.9"
"65",2018-08-10 03:05:00,"29.8","29.8"
"66",2018-08-10 03:10:00,"29.9","29.9"
"67",2018-08-10 03:15:00,"29.8","30.0"
"68",2018-08-10 03:20:00,"29.9","29.8"
"69",2018-08-10 03:25:00,"29.9","29.8"
"70",2018-08-10 03:30:00,"29.7","29.9"
"71",2018-08-10 03:35:00,"29.6","29.8"
"72",2018-08-10 03:40:00,"29.7","29.8"
"73",2018-08-10 03:45:00,"29.7","30.0"
"74",2018-08-10 03:50:00,"29.8","29.8"
"75",2018-08-10 03:55:00,"29.9","29.7"
"76",2018-08-10 04:00:00,"29.7","29.9"
"77",2018-08-10 04:05:00,"29.8","29.8"
"78",2018-08-10 04:10:00,"29.9","29.8"
"79",2018-08-10 04:15:00,"29.8","30.0"
"80",2018-08-10 04:20:00,"29.8","29.9"
"81",2018-08-10 04:25:00,"29.9","29.7"
"82",2018-08-10 04:30:00,"29.8","29.9"
"83",2018-08-10 04:35:00,"29.7","30.0"
"84",2018-08-10 04:40:00,"29.8","29.8"
"85",2018-08-10 04:45:00,"29.9","29.8"
"86",2018-08-10 04:50:00,"30.0","30.0"
"87",2018-08-10 04:55:00,"29.8","29.9"
"88",2018-08-10 05:00:00,"29.7","29.7"
"89",2018-08-10 05:05:00,"29.7","29.8"
"90",2018-08-10 05:10:00,"29.8","30.0"
"91",2018-08-10 05:15:00,"29.9","29.8"
"92",2018-08-10 05:20:00,"29.8","29.8"
"93",2018-08-10 05:25:00,"29.8","29.9"
"94",2018-08-10 05:30:00,"29.8","30.0"
"95",2018-08-10 05:35:00,"29.9","29.8"
"96",2018-08-10 05:40:00,"29.8","29.8"
"97",2018-08-10 05:45:00,"29.7","30.0"
"98",2018-08-10 05:50:00,"29.8","29.9"
"99",2018-08-10 05:55:00,"29.9","29.7"
"100",2018-08-10 06:00:00,"29.7","29.8"
"101",2018-08-10 06:05:00,"29.7","30.0"
"102",2018-08-10 06:10:00,"29.8","29.8"
"103",2018-08-10 06:15:00,"29.9","29.7"
"104",2018-08-10 06:20:00,"29.8","29.9"
"105",2018-08-10 06:25:00,"29.7","30.0"
"106",2018-08-10 06:30:00,"29.8","29.8"
"107",2018-08-10 06:35:00,"29.8","29.8"
"108",2018-08-10 06:40:00,"29.9","30.0"
"109",2018-08-10 06:45:00,"29.7","29.9"
"110",2018-08-10 06:50:00,"29.7","29.7"
"111",2018-08-10 06:55:00,"29.9","29.8"
"112",2018-08-10 07:00:00,"30.0","30.0"
"113",2018-08-10 07:05:00,"29.8","29.8"
"114",2018-08-10 07:10:00,"29.7","29.7"
"115",2018-08-10 07:15:00,"29.8","29.9"
"116",2018-08-10 07:20:00,"29.9","30.0"
"117",2018-08-10 07:25:00,"30.0","29.8"
"118",2018-08-10 07:30:00,"29.8","29.8"
"119",2018-08-10 07:35:00,"29.7","30.0"
"120",2018-08-10 07:40:00,"29.8","29.9"
"121",2018-08-10 07:45:00,"29.9","29.7"
"122",2018-08-10 07:50:00,"30.0","29.9"
"123",2018-08-10 07:55:00,"29.8","30.0"
"124",2018-08-10 08:00:00,"29.7","29.8"
"125",2018-08-10 08:05:00,"29.7","29.7"
"126",2018-08-10 08:10:00,"29.8","30.0"
"127",2018-08-10 08:15:00,"30.0","30.0"
"128",2018-08-10 08:20:00,"29.9","29.8"
"129",2018-08-10 08:25:00,"29.7","29.8"
"130",2018-08-10 08:30:00,"29.7","30.0"
"131",2018-08-10 08:35:00,"29.8","29.9"
"132",2018-08-10 08:40:00,"29.9","29.7"
"133",2018-08-10 08:45:00,"29.8","29.8"
"134",2018-08-10 08:50:00,"29.7","30.0"
"135",2018-08-10 08:55:00,"29.8","29.8"
"136",2018-08-10 09:00:00,"29.9","29.8"
"137",2018-08-10 09:05:00,"29.9","30.0"
"138",2018-08-10 09:10:00,"29.7","30.0"
"139",2018-08-10 09:15:00,"29.7","29.8"
"140",2018-08-10 09:20:00,"30.0","29.8"
"141",2018-08-10 09:25:00,"30.5","30.0"
"142",2018-08-10 09:30:00,"30.4","29.8"
"143",2018-08-10 09:35:00,"30.1","29.8"
"144",2018-08-10 09:40:00,"29.9","30.0"
"145",2018-08-10 09:45:00,"29.8","29.9"
"146",2018-08-10 09:50:00,"29.8","29.8"
"147",2018-08-10 09:55:00,"29.9","30.0"
"148",2018-08-10 10:00:00,"29.8","29.8"
"149",2018-08-10 10:05:00,"30.0","29.8"
"150",2018-08-10 10:10:00,"30.0","30.0"
"151",2018-08-10 10:15:00,"29.8","29.8"
"152",2018-08-10 10:20:00,"29.9","29.8"
"153",2018-08-10 10:25:00,"30.0","30.0"
"154",2018-08-10 10:30:00,"29.9","29.9"
"155",2018-08-10 10:35:00,"29.7","29.8"
"156",2018-08-10 10:40:00,"30.0","30.0"
"157",2018-08-10 10:45:00,"30.0","29.8"
"158",2018-08-10 10:50:00,"29.8","30.0"
"159",2018-08-10 10:55:00,"29.8","29.8"
"160",2018-08-10 11:00:00,"30.0","29.9"
"161",2018-08-10 11:05:00,"29.9","30.0"
"162",2018-08-10 11:10:00,"29.8","29.8"
"163",2018-08-10 11:15:00,"30.0","30.0"
"164",2018-08-10 11:20:00,"30.0","29.9"
"165",2018-08-10 11:25:00,"29.8","29.8"
"166",2018-08-10 11:30:00,"29.8","30.0"
"167",2018-08-10 11:35:00,"30.0","29.8"
"168",2018-08-10 11:40:00,"30.0","30.0"
"169",2018-08-10 11:45:00,"29.8","29.8"
"170",2018-08-10 11:50:00,"29.9","29.9"
"171",2018-08-10 11:55:00,"30.0","29.9"
"172",2018-08-10 12:00:00,"29.9","29.9"
"173",2018-08-10 12:05:00,"29.8","30.0"
"174",2018-08-10 12:10:00,"30.0","29.8"
"175",2018-08-10 12:15:00,"30.0","30.0"
"176",2018-08-10 12:20:00,"29.8","29.8"
"177",2018-08-10 12:25:00,"29.8","30.0"
"178",2018-08-10 12:30:00,"30.0","29.8"
"179",2018-08-10 12:35:00,"30.0","29.9"
"180",2018-08-10 12:40:00,"29.8","29.9"
"181",2018-08-10 12:45:00,"29.9","29.8"
"182",2018-08-10 12:50:00,"30.0","30.0"
"183",2018-08-10 12:55:00,"29.9","29.8"
"184",2018-08-10 13:00:00,"29.8","30.0"
"185",2018-08-10 13:05:00,"30.0","29.8"
"186",2018-08-10 13:10:00,"30.0","30.0"
"187",2018-08-10 13:15:00,"30.0","29.9"
"188",2018-08-10 13:20:00,"29.7","29.9"
"189",2018-08-10 13:25:00,"29.7","30.0"
"190",2018-08-10 13:30:00,"29.7","29.8"
"191",2018-08-10 13:35:00,"29.8","30.0"
"192",2018-08-10 13:40:00,"30.0","29.8"
"193",2018-08-10 13:45:00,"30.0","30.0"
"194",2018-08-10 13:50:00,"30.0","29.8"
"195",2018-08-10 13:55:00,"29.8","29.9"
"196",2018-08-10 14:00:00,"29.7","29.9"
"197",2018-08-10 14:05:00,"29.7","29.8"
"198",2018-08-10 14:10:00,"29.8","30.0"
"199",2018-08-10 14:15:00,"29.9","29.8"
"200",2018-08-10 14:20:00,"29.9","30.0"
"201",2018-08-10 14:25:00,"29.8","29.8"
"202",2018-08-10 14:30:00,"29.8","30.0"
"203",2018-08-10 14:35:00,"29.8","29.9"
"204",2018-08-10 14:40:00,"29.9","29.9"
"205",2018-08-10 14:45:00,"30.0","29.9"
"206",2018-08-10 14:50:00,"29.9","29.8"
"207",2018-08-10 14:55:00,"29.8","30.0"
"208",2018-08-10 15:00:00,"29.8","29.8"
"209",2018-08-10 15:05:00,"29.8","30.0"
"210",2018-08-10 15:10:00,"29.9","29.8"
"211",2018-08-10 15:15:00,"30.0","30.0"
"212",2018-08-10 15:20:00,"30.0","29.8"
"213",2018-08-10 15:25:00,"29.8","30.0"
"214",2018-08-10 15:30:00,"29.7","29.9"
"215",2018-08-10 15:35:00,"29.7","29.9"
"216",2018-08-10 15:40:00,"29.8","29.9"
"217",2018-08-10 15:45:00,"30.0","29.8"
"218",2018-08-10 15:50:00,"30.0","30.0"
"219",2018-08-10 15:55:00,"29.9","29.8"
"220",2018-08-10 16:00:00,"29.7","30.0"
"221",2018-08-10 16:05:00,"29.8","29.8"
"222",2018-08-10 16:10:00,"29.8","30.0"
"223",2018-08-10 16:15:00,"29.9","29.8"
"224",2018-08-10 16:20:00,"30.0","29.9"
"225",2018-08-10 16:25:00,"29.9","29.8"
"226",2018-08-10 16:30:00,"29.8","30.0"
"227",2018-08-10 16:35:00,"29.8","29.8"
"228",2018-08-10 16:40:00,"29.8","29.8"
"229",2018-08-10 16:45:00,"29.9","30.0"
"230",2018-08-10 16:50:00,"30.0","29.8"
"231",2018-08-10 16:55:00,"29.9","30.0"
"232",2018-08-10 17:00:00,"29.8","29.8"
"233",2018-08-10 17:05:00,"29.7","30.0"
"234",2018-08-10 17:10:00,"29.8","29.8"
"235",2018-08-10 17:15:00,"29.9","30.0"
"236",2018-08-10 17:20:00,"30.0","29.8"
"237",2018-08-10 17:25:00,"29.9","29.9"
"238",2018-08-10 17:30:00,"29.8","29.9"
"239",2018-08-10 17:35:00,"29.7","29.8"
"240",2018-08-10 17:40:00,"29.8","30.0"
"241",2018-08-10 17:45:00,"29.9","29.8"
"242",2018-08-10 17:50:00,"30.0","30.0"
"243",2018-08-10 17:55:00,"30.0","29.8"
"244",2018-08-10 18:00:00,"29.8","30.0"
"245",2018-08-10 18:05:00,"29.8","29.8"
"246",2018-08-10 18:10:00,"30.5","29.7"
"247",2018-08-10 18:15:00,"30.3","30.0"
"248",2018-08-10 18:20:00,"30.1","29.9"
"249",2018-08-10 18:25:00,"30.0","29.8"
"250",2018-08-10 18:30:00,"29.8","29.9"
"251",2018-08-10 18:35:00,"29.8","30.0"
"252",2018-08-10 18:40:00,"30.0","29.8"
"253",2018-08-10 18:45:00,"29.9","29.8"
"254",2018-08-10 18:50:00,"29.7","30.0"
"255",2018-08-10 18:55:00,"29.8","29.9"
"256",2018-08-10 19:00:00,"30.0","29.8"
"257",2018-08-10 19:05:00,"29.9","30.0"
"258",2018-08-10 19:10:00,"29.8","30.0"
"259",2018-08-10 19:15:00,"29.9","29.8"
"260",2018-08-10 19:20:00,"30.0","29.9"
"261",2018-08-10 19:25:00,"29.8","30.0"
"262",2018-08-10 19:30:00,"29.7","29.8"
"263",2018-08-10 19:35:00,"29.9","29.8"
"264",2018-08-10 19:40:00,"29.9","30.0"
"265",2018-08-10 19:45:00,"29.8","29.9"
"266",2018-08-10 19:50:00,"29.8","29.8"
"267",2018-08-10 19:55:00,"30.0","30.0"
"268",2018-08-10 20:00:00,"29.8","30.0"
"269",2018-08-10 20:05:00,"29.8","29.8"
"270",2018-08-10 20:10:00,"29.9","29.9"
"271",2018-08-10 20:15:00,"30.0","30.0"
"272",2018-08-10 20:20:00,"29.7","29.8"
"273",2018-08-10 20:25:00,"29.8","29.8"
"274",2018-08-10 20:30:00,"30.0","30.0"
"275",2018-08-10 20:35:00,"30.0","29.9"
"276",2018-08-10 20:40:00,"29.8","29.8"
"277",2018-08-10 20:45:00,"29.9","30.0"
"278",2018-08-10 20:50:00,"30.0","30.0"
"279",2018-08-10 20:55:00,"29.8","29.8"
"280",2018-08-10 21:00:00,"29.7","29.9"
"281",2018-08-10 21:05:00,"29.9","30.0"
"282",2018-08-10 21:10:00,"29.9","29.8"
"283",2018-08-10 21:15:00,"29.8","29.8"
"284",2018-08-10 21:20:00,"29.9","30.0"
"285",2018-08-10 21:25:00,"30.0","29.9"
"286",2018-08-10 21:30:00,"29.8","29.8"
"287",2018-08-10 21:35:00,"29.8","30.0"
"288",2018-08-10 21:40:00,"30.0","30.0"
"289",2018-08-10 21:45:00,"30.0","29.8"
"290",2018-08-10 21:50:00,"29.8","29.8"
"291",2018-08-10 21:55:00,"29.8","30.0"
"292",2018-08-10 22:00:00,"30.0","29.8"
"293",2018-08-10 22:05:00,"29.9","29.8"
"294",2018-08-10 22:10:00,"29.8","30.0"
"295",2018-08-10 22:15:00,"29.9","29.9"
"296",2018-08-10 22:20:00,"30.0","29.8"
"297",2018-08-10 22:25:00,"29.8","29.9"
"298",2018-08-10 22:30:00,"29.8","30.0"
"299",2018-08-10 22:35:00,"30.0","29.8"
"300",2018-08-10 22:40:00,"29.9","29.8"
"301",2018-08-10 22:45:00,"29.7","30.0"
"302",2018-08-10 22:50:00,"29.8","29.9"
"303",2018-08-10 22:55:00,"30.0","29.8"
"304",2018-08-10 23:00:00,"29.9","30.0"
"305",2018-08-10 23:05:00,"29.8","30.0"
"306",2018-08-10 23:10:00,"29.8","29.8"
"307",2018-08-10 23:15:00,"30.0","29.8"
"308",2018-08-10 23:20:00,"29.9","30.0"
"309",2018-08-10 23:25:00,"29.8","29.8"
"310",2018-08-10 23:30:00,"29.9","29.8"
"311",2018-08-10 23:35:00,"30.0","30.0"
"312",2018-08-10 23:40:00,"29.8","29.9"
"313",2018-08-10 23:45:00,"29.7","29.8"
"314",2018-08-10 23:50:00,"29.8","29.9"
"315",2018-08-10 23:55:00,"30.0","30.0"
"316",2018-08-11 00:00:00,"29.8","29.7"
"317",2018-08-11 00:05:00,"29.8","29.7"
"318",2018-08-11 00:10:00,"30.0","30.0"
"319",2018-08-11 00:15:00,"29.8","30.0"
"320",2018-08-11 00:20:00,"29.7","29.8"
"321",2018-08-11 00:25:00,"29.9","29.8"
"322",2018-08-11 00:30:00,"29.9","30.0"
"323",2018-08-11 00:35:00,"29.7","29.8"
"324",2018-08-11 00:40:00,"29.8","29.8"
"325",2018-08-11 00:45:00,"29.9","29.9"
"326",2018-08-11 00:50:00,"29.8","29.8"
"327",2018-08-11 00:55:00,"29.7","29.8"
"328",2018-08-11 01:00:00,"30.0","29.8"
"329",2018-08-11 01:05:00,"30.0","29.8"
"330",2018-08-11 01:10:00,"29.8","29.9"
"331",2018-08-11 01:15:00,"29.8","29.8"
"332",2018-08-11 01:20:00,"30.0","30.0"
"333",2018-08-11 01:25:00,"29.8","29.9"
"334",2018-08-11 01:30:00,"29.7","29.7"
"335",2018-08-11 01:35:00,"29.8","29.9"
"336",2018-08-11 01:40:00,"29.9","30.0"
"337",2018-08-11 01:45:00,"29.8","29.8"
"338",2018-08-11 01:50:00,"29.9","29.8"
"339",2018-08-11 01:55:00,"30.0","30.0"
"340",2018-08-11 02:00:00,"29.8","29.8"
"341",2018-08-11 02:05:00,"29.7","29.8"
"342",2018-08-11 02:10:00,"29.9","30.0"
"343",2018-08-11 02:15:00,"29.8","29.8"
"344",2018-08-11 02:20:00,"29.7","29.8"
"345",2018-08-11 02:25:00,"29.8","29.9"
"346",2018-08-11 02:30:00,"29.9","29.8"
"347",2018-08-11 02:35:00,"29.7","29.8"
"348",2018-08-11 02:40:00,"29.8","29.8"
"349",2018-08-11 02:45:00,"30.0","29.8"
"350",2018-08-11 02:50:00,"29.8","29.9"
"351",2018-08-11 02:55:00,"29.7","29.9"
"352",2018-08-11 03:00:00,"29.8","29.7"
"353",2018-08-11 03:05:00,"29.9","29.8"
"354",2018-08-11 03:10:00,"29.8","30.0"
"355",2018-08-11 03:15:00,"29.8","29.8"
"356",2018-08-11 03:20:00,"30.0","29.8"
"357",2018-08-11 03:25:00,"29.9","30.0"
"358",2018-08-11 03:30:00,"29.7","29.8"
"359",2018-08-11 03:35:00,"29.8","29.7"
"360",2018-08-11 03:40:00,"30.0","29.9"
"361",2018-08-11 03:45:00,"29.8","29.8"
"362",2018-08-11 03:50:00,"29.7","29.8"
"363",2018-08-11 03:55:00,"30.0","30.0"
"364",2018-08-11 04:00:00,"30.0","29.9"
"365",2018-08-11 04:05:00,"29.7","29.7"
"366",2018-08-11 04:10:00,"29.7","29.8"
"367",2018-08-11 04:15:00,"29.9","30.0"
"368",2018-08-11 04:20:00,"29.9","29.8"
"369",2018-08-11 04:25:00,"29.7","29.8"
"370",2018-08-11 04:30:00,"29.8","29.9"
"371",2018-08-11 04:35:00,"30.0","29.8"
"372",2018-08-11 04:40:00,"29.8","29.8"
"373",2018-08-11 04:45:00,"29.7","29.8"
"374",2018-08-11 04:50:00,"29.8","29.8"
"375",2018-08-11 04:55:00,"29.9","29.9"
"376",2018-08-11 05:00:00,"29.7","29.8"
